"ID","Label","Ort1","Ort2","Geschlecht","Geburt","Tod"
81,"Auersperg, Volkhard (1530–1591), Oberststallmeister","","Baden am Gebirge, ▭ Purgstall an der Erlauf","m",1530,1591
82,"Khuen von Belasi, Rudolf (1533–1581), Oberststallmeister","Lichtenberg im Pinzgau","Wien:Dorotheerkirche","m",1533,1581
83,"Fürstenberg, Albrecht (1557–1599), Oberststallmeister","Blumberg in der Baar","Prag, ▭ Neudingen","m",1557,1599
84,"Fugger, Johann Ernst (1590–1639), Reichshofratspräsident","Stettenfels","Augsburg","m",1590,1639
85,"Habsburg, Matthias I. (1557–1619), Kaiser des Heiligen Römischen Reiches","Wien","Wien:Kapuzinergruft","m",1557,1619
86,"Starhemberg, Heinrich Wilhelm (1593–1675), Obersthofmarschall","Riedegg im Mühlviertel","Wien","m",1593,1675
87,"Starhemberg, Ernst Rudger (1638–1701), Hofkriegsratspräsident","Graz","Konradswörth auf der Wieden, ▭ Wien:Schottenkirche","m",1638,1701
88,"Losenstein, Georg Achaz (1597–1653), Oberststallmeister","Gschwendt an der Krems","Regensburg","m",1597,1653
89,"Paar, Rudolf (1577–1626), Oberststallmeister","Hartberg in der Steiermark","Karlstadt in Kroatien, ▭ Graz","m",1577,1626
90,"Nostitz, Johann Hartwig (1610–1683), Oberstkanzler von Böhmen","Kunzendorf unter dem Walde","Wien, ▭ Falkenau an der Eger","m",1610,1683
91,"Harrach, Franz Albrecht (1614–1666), Oberststallmeister","Wien","Wien:Augustinerkirche","m",1614,1666
92,"Sprinzenstein, Simon Hieronym (1594–1639), Reichshofrat","Prag","Wien:Michaelerkirche","m",1594,1639
93,"Trivulzio, Klaudius (1538–1591), Oberststallmeister","Mailand","Prag:Thomaskirche","m",1538,1591
94,"Cavriani, Oktavian (1560–1618), Oberststallmeister","","Wien","m",1560,1618
95,"Habsburg, Karl (1540–1590), Landesherr von Innerösterreich","Wien","Graz, ▭ Seckau im Murtal","m",1540,1590
96,"Aldringen, Johann (1588–1634), Hofkriegsrat","Diedenhofen","Landshut in Niederbayern, ▭ Sankt Veit in Prüll:Klosterkirche","m",1588,1634
97,"Althan, Michael Adolf (1574–1636), Hofkriegsrat","Murstetten","Wien","m",1574,1636
98,"Breunner, Jakob (1566–1606), Obersthofmarschall","Graz","Prag","m",1566,1606
99,"Breunner, Maximilian (1592–1634), Obersthofmeister","Graz","Oedenburg","m",1592,1634
100,"Collalto, Reimbald (1579–1630), Hofkriegsratspräsident","Mantova","Chur in Graubünden, ▭ Wien:Minoritenkirche","m",1579,1630
101,"Colloredo, Rudolf (1585–1657), Großprior des Malteserordens in Böhmen","Budweis in Böhmen","Prag","m",1585,1657
102,"Dietrichstein, Franz (1570–1636), Bischof von Olmütz","Madrid","Brünn in Mähren, ▭ Olmütz","m",1570,1636
103,"Gonzaga, Eleonora (1598–1655), Kaiserin des Heiligen Römischen Reiches","Mantova","Wien","w",1598,1655
104,"Habsburg, Maria Anna (1606–1646), Kaiserin des Heiligen Römischen Reiches","San Lorenzo de El Escorial","Linz an der Donau","w",1606,1646
105,"Habsburg, Zäzilia Renata (1611–1644), Königin von Polen","Graz","Vilnius, ▭ Kraków","w",1611,1644
106,"Habsburg, Maria Anna (1610–1665), Herzogin in Bayern","Graz","München","w",1610,1665
107,"Harrach, Ernst Albrecht (1598–1667), Erzbischof von Prag","Wien","Wien","m",1598,1667
108,"Harrach, Karl (1570–1628), Geheimer Rat","Rohrau an der Leitha","Prag, ▭ Wien:Augustinerkirche","m",1570,1628
109,"Harrach, Leonhard Karl (1594–1645), Obersthofmeister","Wien","","m",1594,1645
110,"Herberstein, Bernhard (1566–1624), Oberststallmeister","Herberstein an der Feistritz","Graz, ▭ Lankowitz:Franziskanerkirche","m",1566,1624
111,"Valmarana, Margarita (1580–1644), Obersthofmeisterin","Vicenza","","w",1580,1644
112,"Hoyos, Johann Balthasar (1583–1632), Hofkammerpräsident","Stixenstein","Wien","m",1583,1632
113,"Khevenhüller, Johann (1538–1606), Kämmerer","Spittal an der Drau","Madrid","m",1538,1606
114,"Kollonitsch, Ernst (1582–1638), Hofkriegsrat","Schleinitz in der Krain","Wien","m",1582,1638
115,"Sinzendorf, Georg Ludwig (1616–1680), Hofkammerpräsident","Wien","Wien, ▭ Passau","m",1616,1680
116,"Martinitz, Georg Adam (1602–1651), Oberstkanzler von Böhmen","Smečno","Wien","m",1602,1651
117,"Kolowrat, Ulrich Franz (1607–1650), Oberstburggraf von Prag","Schichowitz","Budweis in Böhmen, ▭ Prag","m",1607,1650
118,"Michna von Waizenhofen, Paul (1572–1632), Geheimer Rat","Waizenhofen im Egerland","Nürnberg","m",1572,1632
119,"Rottal, Johann (1605–1674), Landeshauptmann von Mähren","Graz","Wien","m",1605,1674
120,"Gonzaga, Karl (1616–1680), Fürst von Castiglione","Castiglione delle Stiviere","Solferino","m",1616,1680
121,"Unterholzer von Kranichberg, Johann Baptist (1561–1632), Hofkammerrat","","Kranichberg am Wechsel","m",1561,1632
122,"Polheim, Gundaker (1575–1644), Hofkammerpräsident","Lichtenegg im Hausruckviertel","Wien","m",1575,1644
123,"Wrzesowitz, Wilhelm (1572–1640), Oberstmünzmeister in Böhmen","Wrzesowitz in Mähren","","m",1572,1640
124,"Trauttmansdorff, Johann Friedrich (1619–1696), Statthalter von Böhmen","Feldbach in der Steiermark","Prag","m",1619,1696
125,"Schwarzenberg, Georg Ludwig (1586–1646), Obersthofmarschall","Straubing","Freudenau in der Krain, ▭ Murau:Kapuzinerkirche","m",1586,1646
126,"Kraft von Lamersdorf, Ignaz (1592–1638), Abt von Lilienfeld","Aachen","Wien, ▭ Lilienfeld","m",1592,1638
127,"Lobkowicz, Sidonius Albrecht (1568–1628), Oberstkanzler von Böhmen","Prag","Wien","m",1568,1628
128,"Teufel von Guntersdorf, Johann Christoph (1567–1624), Kämmerer","","Neustadt im Steinfeld, ▭ Katzelsdorf an der Leitha","m",1567,1624
129,"Teufel von Guntersdorf, Christoph Adolf (1599–1650), Kämmerer","","Wien","m",1599,1650
130,"Losenstein, Wolfgang Siegmund (1567–1626), Obersthofmarschall","Gschwendt an der Krems","Gschwendt an der Krems, ▭ Garsten","m",1567,1626
131,"Muschinger, Vinzenz (1570–1628), Hofkammervizepräsident","Gumpendorf","Wien:Schottenkirche","m",1570,1628
132,"Trauttmansdorff, Siegmund Friedrich (1571–1631), Hofkriegsrat","Trautmannsdorf in der Steiermark","Graz:Jesuitenkirche","m",1571,1631
133,"Hase von Hasenburg, Jaroslaus (1614–1663), Kämmerer","Radešín","Prag","m",1614,1663
134,"Verda von Werdenberg, Johann Baptist (1582–1648), Geheimer Rat","Campione am Luganersee","Wien:Michaelerkirche","m",1582,1648
135,"Verda von Werdenberg, Johann Ferdinand (1626–1666), Kämmerer","Wien","Wien:Michaelerkirche","m",1626,1666
136,"Wagen von Wagensperg, Johann Siegmund (1574–1640), Hofkammerpräsident","Präwald in der Krain","","m",1574,1640
137,"Würben, Wenzel (1589–1649), Kämmerer","Troppau","Venedig, ▭ Padua","m",1589,1649
138,"Mansfeld, Philipp (1589–1657), Geheimer Rat","Bornstedt im Harz","Jauer an der Raab","m",1589,1657
139,"Sinzendorf, Johann Joachim (1620–1665), Hofkanzler","Ernstbrunn","","m",1620,1665
140,"Thun, Johann Arbogast (1614–1646), Stäbelmeister","Kastelpfund","Linz an der Donau","m",1614,1646
141,"Wrzesowitz, Johann Weikhard (1624–1656), Kämmerer","Wrzesowitz in Mähren","Liebenau an der Warthe","m",1624,1656
142,"Trautson, Paul Sixt (1548–1621), Obersthofmarschall","Stein am Gallian","Wien:Michaelerkirche","m",1548,1621
143,"Hohenfeld, Otto Achaz (1614–1685), Mundschenk","Aistersheim","Aistersheim","m",1614,1685
144,"Glauchau, Johann Matthias (1575–1633), Rentmeister in Böhmen","Glauchau","Prag, ▭ Chrustenitz","m",1575,1633
145,"Trauttmansdorff, Erich Adam (1595–1664), Kämmerer","","","m",1595,1664
146,"Manrique de Lara, Georg (1610–1651), Stäbelmeister","Desio in der Lombardei","","m",1610,1651
147,"Trauttmansdorff, Franz Anton (1630–1672), Kämmerer","Graz","","m",1630,1672
148,"Trauttmansdorff, Otto Erich (1586–1664), Hofkriegsrat","Frauenstein in Kärnten","","m",1586,1664
149,"Trauttmansdorff, Adam Matthias (1617–1684), Geheimer Rat","Teinitz an der Radbusa","Teinitz an der Radbusa","m",1617,1684
150,"Trauttmansdorff, Siegmund Friedrich (1623–1675), Landeshauptmann der Steiermark","Graz","Graz, ▭ Mariazell in der Steiermark","m",1623,1675
151,"Trautson, Paul Sixt (1635–1678), Kämmerer","Wien","Madrid, ▭ Wien:Michaelerkirche","m",1635,1678
152,"Trautson, Franz Euseb (1642–1718), Geheimer Rat","Wien","Innsbruck","m",1642,1718
153,"Trautson, Johann Leopold (1659–1724), Obersthofmeister","","Wien:Michaelerkirche","m",1659,1724
154,"Zinzendorf, Johann Joachim (1570–1626), Kämmerer","Augsburg","Karlsbach im Mühlkreis","m",1570,1626
155,"Zinzendorf, Johann Albrecht (1619–1683), Obersthofmeister","Karlsbach im Mühlkreis","Oedenburg","m",1619,1683
156,"Ungnad von Weissenwolff, David (1604–1672), Prinzipalkommissar","Sonnegg im Jauntal","Linz an der Donau","m",1604,1672
157,"Ungnad von Weissenwolff, Helmhard Christoph (1634–1702), Landeshauptmann von Oberösterreich","Sonnegg im Jauntal","Linz an der Donau","m",1634,1702
158,"Dohna, Maximilian Ernst (1615–1641), Stäbelmeister","Wartenberg an der Weide","Graz","m",1615,1641
159,"Fürstenberg, Ferdinand Friedrich (1623–1663), Geheimer Rat","Heiligenberg im Linzgau","Donaueschingen","m",1623,1662
160,"Cavriani, Friedrich (1597–1662), Obersthofmeister","Mantova","Wien","m",1597,1662
161,"Hohenfeld, Ferdinand (1612–1675), Hofkammervizepräsident","Aistersheim","Wien","m",1612,1675
162,"Pătrașcu, Michael (1615–1655), Erbprinz der Walachei","Fagreschmarkt","Jaßenmarkt, ▭ Comana in der Walachei","m",1615,1655
163,"Zrínyi, Niklas (1620–1664), Ban von Kroatien","Osail","Kuršanec, ▭ Zrínyivár am Csáktornya","m",1620,1664
164,"Zrínyi, Peter (1621–1671), Ban von Kroatien","Vrbovec","Neustadt im Steinfeld","m",1621,1671
165,"Hohenzollern, Leopold (1608–1659), Kämmerer","Hechingen","Köln am Rhein","m",1608,1659
166,"Martinitz, Bernhard Ignaz (1615–1685), Oberstburggraf von Prag","Prag","Prag","m",1615,1685
167,"Truchsess von Waldburg, Johann Jakob (1602–1674), Kämmerer","Zeil in Schwaben","Zeil in Schwaben","m",1602,1674
168,"Truchsess von Waldburg, Otto (1615–1663), Kämmerer","Ulm an der Donau","","m",1615,1663
169,"Martinitz, Maximilian Valentin (1621–1677), Oberstburggraf von Prag","Passau","Prag","m",1621,1677
170,"Khevenhüller, Georg Augustin (1615–1653), Kämmerer","Wien","Wien","m",1615,1653
171,"Talmberg, Franz Wilhelm (1610–1665), Kämmerer","","","m",1610,1665
172,"Alvernia di Clavesana, Michael (1617–1678), Kämmerer","","Chrudim","m",1617,1678
173,"Thurn, Johann Ambros (1616–1656), Kämmerer","","","m",1616,1656
174,"Mollard, Franz Ernst (1612–1670), Oberstküchenmeister","Prag","Wien","m",1612,1670
175,"Breunner, Karl Gottfried (1619–1675), Hofkammerpräsident von Innerösterreich","","Graz","m",1619,1675
176,"Rabatta, Joseph (1620–1683), Bischof von Laibach","Görz","Laibach","m",1620,1683
177,"Wratislaw von Mitrowitz, Georg Sidonius (1619–1655), Mundschenk","","Poritschen an der Bradava","m",1619,1655
178,"Kaunitz, Leopold Wilhelm (1614–1655), Kämmerer","Austerlitz in Mähren","Brünn in Mähren","m",1614,1655
179,"Auersperg, Herbert (1613–1669), Kämmerer","Seisenberg in der Krain","Agram","m",1613,1669
180,"Waldstein, Rudolf (1592–1649), Kämmerer","","","m",1592,1649
181,"Forgách, Franz (1620–1647), Kämmerer","","Landshut in Mähren, ▭ Tyrnau","m",1620,1647
182,"Forgách, Niklas (1586–1635), Kämmerer","","Pressburg, ▭ Tyrnau","m",1586,1635
183,"Forgách, Siegmund (1605–1645), Kämmerer","","","m",1605,1645
184,"Forgách, Adam (1601–1681), Kämmerer","","Tyrnau","m",1601,1681
185,"Nádasdy, Franz (1623–1671), Geheimer Rat","Schächtitz","Wien","m",1623,1671
186,"Habsburg, Ferdinand I. (1503–1564), Kaiser des Heiligen Römischen Reiches","Alcalá de Henares","Wien, ▭ Prag","m",1503,1564
187,"Erdődy, Wolfgang (1620–1647), Mundschenk","Eberau im Burgenland","","m",1620,1647
188,"Erdődy, Georg (1618–1663), Kämmerer","Eberau im Burgenland","","m",1618,1663
189,"Erdődy, Emmerich (1616–1690), Kämmerer","Eberau im Burgenland","Kanizsa","m",1616,1690
190,"Balassa, Emmerich (1626–1683), Kämmerer","","Tállya","m",1626,1683
191,"Balassa, Valentin (1626–1684), Hofkammerrat","Blauenstein","Sohl an der Gran","m",1626,1684
192,"Herzan von Harras, Johann Adam (1625–1681), Kämmerer","Rothenhaus im Erzgebirge","Rothenhaus im Erzgebirge","m",1625,1681
193,"Thun, Johann Arbogast (1565–1633), Geheimer Rat","Kalteis im Sulztal","Kalteis im Sulztal","m",1565,1633
194,"Thun, Michael Oswald (1631–1694), Statthalter von Böhmen","","Prag","m",1631,1694
195,"Thun, Rudolf (1597–1636), Kämmerer","","Brixen am Eisack","m",1597,1636
196,"Fuchs von Fuchsberg, Karl (1585–1648), Reichshofratsvizepräsident","Lebenberg im Etschtal","Wien","m",1585,1648
197,"Notthafft, Johann Heinrich (1604–1665), Reichshofratsvizepräsident","Blaibach am Regen","Wien, ▭ Straubing:Karmelitenkirche","m",1604,1665
198,"Kuefstein, Anna Elisabeth (1603–1673)","Greillenstein","","w",1603,1673
199,"Kuefstein, Johann Jakob (1577–1633), Reichshofrat","Greillenstein","","m",1577,1633
200,"Kuefstein, Johann Georg (1543–1603)","Greillenstein","Maria Laach am Jauerling","m",1543,1603
201,"Waldstein, Maximiliana (1625–1658)","","","w",1625,1658
202,"Muschinger, Martha Elisabeth (1605–1639)","Gumpendorf","","w",1605,1639
203,"Hase von Hasenburg, Johann Sbigneus (1560–1616)","Budin an der Eger","","m",1560,1616
204,"Fürstenberg, Wratislaus (1584–1631), Reichshofratspräsident","Prag","Wien","m",1584,1631
205,"Fürstenberg, Wratislaus (1601–1642), Kämmerer","Blumberg in der Baar","Neufra an der Donau","m",1601,1642
206,"Fürstenberg, Franz Christoph (1625–1671), Kämmerer","Blumberg in der Baar","Hüfingen","m",1625,1671
207,"Fürstenberg, Frowin Maria (1627–1685), Geheimer Rat","Blumberg in der Baar","Meßkirch an der Ablach","m",1627,1685
208,"Fürstenberg, Friedrich (1496–1559)","Wolfach","","m",1496,1559
209,"Fürstenberg, Christoph (1534–1559)","","Heiligenberg im Linzgau","m",1534,1559
210,"Fürstenberg, Christoph (1580–1614)","Blumberg in der Baar","Linz an der Donau","m",1580,1614
211,"Fürstenberg, Joachim (1538–1598)","","Heiligenberg im Linzgau","m",1538,1598
212,"Fürstenberg, Friedrich (1563–1617), Obersthofmeister","Heiligenberg im Linzgau","Dresden, ▭ Heiligenberg im Linzgau","m",1563,1617
213,"Fürstenberg, Eginhard (1588–1635), Geheimer Rat","Speyer","Konstanz im Hegau, ▭ Heiligenberg im Linzgau","m",1588,1635
214,"Lobkowicz, Johann (1510–1570), Oberstburggraf von Prag","","Prag","m",1510,1570
215,"Thun, Zyprian (1501–1573), Kämmerer","Thun in Tirol","","m",1501,1573
216,"Thun, Siegmund (1537–1596), Kämmerer","Thun in Tirol","Kastelpfund","m",1537,1596
217,"Thun, Johann Zyprian (1569–1630), Kämmerer","Kastelpfund","Tetschen","m",1569,1630
218,"Thun, Jakob (1494–1559)","Thun in Tirol","Kalteis im Sulztal","m",1494,1559
219,"Thun, Anton Jakob (1537–1569), Mundschenk","Bragher","Trento","m",1537,1569
220,"Thun, Lauk (1485–1559)","Thun in Tirol","","m",1485,1559
221,"Thun, Viktor (1530–1572), Kämmerer","Thun in Tirol","Vigo","m",1530,1572
222,"Thun, Herkules (1561–1615), Kämmerer","Thun in Tirol","","m",1561,1615
223,"Thun, Georg Siegmund (1573–1651), Kämmerer","Kastelpfund","Bragher","m",1573,1651
224,"Thun, Anton (1450–1522)","","Thun in Tirol","m",1450,1522
225,"Erdődy, Thomas (1558–1624), Ban von Kroatien","Eberau im Burgenland","Krapina, ▭ Agram:Kathedrale","m",1558,1624
226,"Erdődy, Elisabeth (1598–1652)","Eberau im Burgenland","","w",1598,1652
227,"Erdődy, Peter (1560–1613)","Eberau im Burgenland","","m",1560,1613
228,"Erdődy, Wolfgang (1588–1645)","Eberau im Burgenland","","m",1588,1645
229,"Erdődy, Peter (1504–1567), Ban von Kroatien","Eberau im Burgenland","Jaska","m",1504,1567
230,"Auersperg, Theoderich (1578–1634), Kämmerer","Laibach","Laibach","m",1578,1634
231,"Auersperg, Volkhard (1443–1508)","","","m",1443,1508
232,"Auersperg, Siegmund (1482–1541)","","","m",1482,1541
233,"Auersperg, Engelhard (1404–1466)","","","m",1404,1466
234,"Savoyen, Eugen (1663–1736), Geheimer Rat","Paris","Wien:Stephansdom","m",1663,1736
235,"Gonzaga, Ferdinand (1544–1586), Fürst von Castiglione","Castel Goffredo","Castiglione delle Stiviere","m",1544,1586
236,"Gonzaga, Christian (1580–1630), Markgraf von Solferino","Castiglione delle Stiviere","Solferino","m",1580,1630
237,"Gonzaga, Franz (1577–1616), Fürst von Castiglione","Castiglione delle Stiviere","Maderno","m",1577,1616
238,"Gonzaga, Johanna (1612–1688)","Castiglione delle Stiviere","","w",1612,1688
239,"Canossa, Theodoald (1600–1650), Kämmerer","","","m",1600,1650
240,"Slavata, Joachim Ulrich (1606–1645), Kämmerer","Neuhaus in Böhmen","Bruck an der Mur","m",1606,1645
241,"Mansfeld, Anna Franziska (1608–1654)","","","w",1608,1654
